,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
914,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
915,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
916,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,RETR,/FTP6001/Send/ServerLink/SS-KZEND-KOZU.TXT,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink/SS-KZEND-KOZU.TXT
917,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
918,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,138",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
919,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
920,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
921,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,RETR,/FTP6001/Send/ServerLink/SS-KZEND-KOSAKU-SHIJI.TXT,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink/SS-KZEND-KOSAKU-SHIJI.TXT
922,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
923,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,139",200,0,0,16,22807393-e279-4b12-b05c-5a16f86da4e7,-
924,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
925,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
926,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,RETR,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KOZU.TXT,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KOZU.TXT
927,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
928,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,140",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
929,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
930,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
931,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,RETR,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KOSAKU-SHIJI.TXT,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KOSAKU-SHIJI.TXT
932,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
933,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,141",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
934,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
935,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
936,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,RETR,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KAKO-BUHIN.TXT,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink/SS-KZEND-KNP-KAKO-BUHIN.TXT
